category,text
FAKE,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.
FAKE,Wisconsin is “clearly seeing a decline in COVID infections”.
FAKE,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.
FAKE,India’s Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.
FAKE,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package."
FAKE,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.
FAKE,A picture of a reporter in protective medical gear is an example of how the American media “hypes” the COVID-19 pandemic.
FAKE,"A photo taken by a journalist showing a beach in Jacksonville, Florida, isn’t from after the government reopened the beach as news reports have claimed."
FAKE,News photo from stay-at-home protest was doctored to add Confederate flag.
FAKE,"Says a photo shows the “SAME EXACT PEOPLE” at “two different beaches” in Los Angeles County and Jacksonville, Florida."
FAKE,“My wife is suffering from coronavirus and she is pregnant. The doctor said she won’t survive it.”
FAKE,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.
FAKE,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.
FAKE,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.
FAKE,Says Wisconsin’s in-person election has caused a “surge” in new coronavirus cases
FAKE,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).
FAKE,Trump’s claim that Obama’s handling of the 2009 swine flu pandemic was a disaster.
FAKE,"House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco."
FAKE,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco."
FAKE,The Food and Drug Administration (FDA) authorized Bodysphere’s two-minute COVID-19 testing kit.
FAKE,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack Obama’s handling of the H1N1 pandemic and placing “ALL responsibility” on presidents in a crisis."
FAKE,Amazon’s Alexa says the government released the coronavirus.
FAKE,"In the United States, there are “360,000 (deaths) a year from swimming pools. But we don’t shut the country down for that.”"
FAKE,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.
FAKE,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).
FAKE,Says Democrats are on vacation until May 4 and “refuse to come back” to sign a bill to help small businesses.
FAKE,"“This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.”"
FAKE,Thieves are handing out chemically doused face masks to knock people out before robbing them.
FAKE,Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.
FAKE,"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol."
FAKE,"Gov. Andrew Cuomo “was simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.”"
FAKE,Trump’s claims about how quickly WHO acted to announce human-to-human transmission
FAKE,Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.
FAKE,"The news media has tried to pass off one man’s death, attributed to complications from COVID-19, as two separate cases."
FAKE,“Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.”
FAKE,"“The president looks like he was ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.”"
FAKE,Joe Diffie’s death was labeled “as a COVID-19 death and it wasn’t!”
FAKE,Trump says that as president he has “total” authority to re-open states amid the COVID-19 pandemic.
FAKE,"Average American has less than two-tenths of one percent chance of getting coronavirus, and thus public health officials overreacted to the pandemic."
FAKE,"Trump claims “it is the decision of the President,” not governors, to “open up the states.”"
FAKE,"The US $1,200 coronavirus relief checks this year are “just an advance on your next tax return. … Next year, you’re automatically going to owe $1,200 come tax season.”"
FAKE,Says American NIAID director Dr. Anthony Fauci “stands to lose 100 million dollars on Bill Gates ‘vaccine’ for the coronavirus. Because he invested in this vaccine.”
FAKE,Numbers in a photo about death tolls from COVID-19 show that the pandemic is a con.
FAKE,Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.
FAKE,A photo shared thousands of times on Facebook claims to show the throat of a novel coronavirus patient.
FAKE,COVID-19 stimulus checks are an advance on 2020 tax refunds.
FAKE,Dr. Anthony Fauci “was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.”
FAKE,Calling 1-800-382-5277 or 1-800-746-6373 gives Americans information on their coronavirus stimulus checks.
FAKE,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.
FAKE,Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.
FAKE,15 major global pandemics all originated in China.
FAKE,President Donald Trump referred to the coronavirus as a “hoax” or “political conspiracy.”
FAKE,Pentagon confirms coronavirus accidentally got into chemtrail supply train.
FAKE,China’s Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.
FAKE,Viral publication says a video shows a “gay party in Italy few weeks before COVID-19.”
FAKE,"“Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.”"
FAKE,“Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.”
FAKE,Soap and hand sanitizer can be used to kill coronavirus in the body.
FAKE,"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state."
FAKE,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.
FAKE,"“Church services can’t resume until we’re all vaccinated, says Bill Gates.”"
FAKE,COVID-19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it.
FAKE,CDC admitted to lying about COVID-19 death stats.
FAKE,Top German virologist Jürgen Rissland recommended drinking whiskey to combat COVID-19.
