category,text
FAKE,A face mask exempt card allows you to cite the ADA and not wear a mask. 
FAKE,"People actually #believe that there is such a #thing as ""Freedom to Breathe Agency""?? #REALLY??


This is, of course
#FALSE!


A face mask exempt card allows you to cite the ADA and not wear a mask.

"
FAKE,"@MiddleMolly @juantinabroad @newsjunky2 @mgs_life @like_argue @ArthurSchwartz @JoeBiden that's not fair, he only said name ONE.

let's start with something from this year so he doesn't have to go back too far.
how about Joe Biden and the Democrats want"
FAKE,"Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church, President Trump said.

Those claims do not align with statements from Biden or other leading Democrats. "
FAKE,"Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.
- @RealDonaldTrump
"
FAKE,"@realDonaldTrump You lie! Everything you say is a lie!!
Trump: Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church. Rated False by PolitiFact  Via FactStream "
FAKE,"Joe Biden and the democrats want to prosecute Americans for going to Church, but not for burning a Church.Prez Trump in Tulsa"
FAKE,"Joe Biden and the Democrats want to prosecute Americans for going to church,but not for burning a church.
@realDonaldTrump"
FAKE,"Pres. Trump: Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church. "
FAKE,"@DNCWarRoom TRUMP: Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church."
FAKE,"""Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.""

Live: Trump holds 'Make America Great Again!' rally in Tulsa  via @YouTube"
FAKE,"President Trump's most withering attack on Biden tonight:

""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church. They want to punish your thought, but not violent crime."" "
FAKE,"@POTUS @realDonaldTrump: ""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.""

#TrumpRally2020 #TulsaRally"
FAKE,"TRUMP: Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.

They believe you can riot, vandalize, and destroy, but you cannot attend a peaceful, pro-America rally. "
FAKE,"""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church."" "
FAKE,"""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.""--Trump rally"
FAKE,"Trump: Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church They want to punish your thought, but not their violent crime.



[None of that is true]

#TulsaTrumpRally #TrumpRally #TrumpsCoronavirusRally #Tulsa"
FAKE,Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church! -@realDonaldTrump
FAKE,"""Joe Biden and the democrats want to prosecute Americans for going to church but not for burning a church...""-Trump. This is too absurd to dignify with analysis."
FAKE,'Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.' This is really a crazed speech.
FAKE,"Trump says Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church."
FAKE,"@GSgt0317 @davidmweissman @Jim_Jordan Do you think that if we ""stopped testing right now we'd have very few cases, if any""?
do you think DC mayor Bowser ""wouldn't let the police get involved"" in protests outside the white house?
Do you think ""Twitter is s"
FAKE,"@realDonaldTrump And you said ""nobody ever heard of juneteenth""; ""if we stopped testing right now, we'd have very few cases, if any""; ""we've tested more than every country combined"". 23.3 lies per day in 2020."
FAKE,"If we stopped testing right now, wed have very few cases, if any. - the biggest brain in the world "
FAKE,"If we stopped testing right now, wed have very few cases, if any. 

You are the epitome of a low IQ person. 
No empathy.
Inability to have conversation.
Cant tell the truth to save your life...

Dont forget preying on children. "
FAKE,"Trump on coronavirus testing: If we stopped testing right now, wed have very few cases, if any  via @YahooNews Youll b AMAZED how many couldnt pick up on what he meant bcus of never missing an opportunity 2call a BILLIONAIRE crazy! The joke is onTHEM!"
FAKE,"We have it totally under control Today I am instructing my administration to halt funding of the World Health Organization.              If we stopped testing right now, wed have very few cases, if any. "
FAKE,"@Aselly22 @NotonMy06517619 @parscale OMG! 
I gave you 5  off the top of my head, and you choose to make excuses for every single one of them. 
During a round table discussion:
6/15/20: if we stopped testing right now wed have very few cases if any. 

B"
FAKE,"@Creepyjoe10 @Gammiex4MMC @DrTedros @WHO 

There you go.

If we stopped testing right now, we'd have very few cases, if any. - actually said by Donald Trump.

He's said it repeatedly, as well."
FAKE,"@DonaldJTrumpJr Sure. And the idea of If we stopped testing right now, wed have very few cases, if any"" is *such* an indication of mental acuity.

"
FAKE,"""If we stopped testing right now, we'd have very few cases, if any."" 
- Trump 

Object permanence is a 9 month old developmental milestone that involves a baby's understanding that when things disappear from view, they don't cease to exist."
FAKE,"1. Trump said before he planned a rally on June 19 nobody had ever heard of Juneteenth.

2. Said If we stopped testing right now, we'd have very few cases, if any.

3. Says hes the one who gave the nickname Mad Dog to former Defense Secretary James Mattis. "
FAKE,"@realDonaldTrump You said this: If you dont test, you dont have any cases, Trump said at a June 15 roundtable discussion at the White House. If we stopped testing right now, wed have very few cases, if any."
FAKE,"@realDonaldTrump If you dont test, you dont have any cases,If we stopped testing right now, wed have very few cases, if any."
