category,text
FAKE,A face mask exempt card shared on social media invokes the Americans with Disabilities Act and claims to excuse people from wearing face masks.
FAKE,A test on video with a gas detector shows that face masks result in dangerous oxygen levels for the wearer.
FAKE,A painting depicting children in face masks was created as a mural for the Denver airport in 1994 proving the COVID-19 pandemic was planned.
FAKE,According to Bill Gates the COVID-19 RNA vaccine will permanently alter our DNA. RNA vaccines can also cause autoimmunity.
FAKE,Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.
FAKE,Alexandria Ocasio-Cortez tweeted Its vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.
FAKE,COVID-19 cases are up only because of our big number testing in the United States.
FAKE,If you are licensed to carry a concealed weapon wearing a face covering for coronavirus removes your conceal carry ability.
FAKE,Claim that Rep. Alexandria Ocasio-Cortez tweeted that U.S. governors should extend COVID-19 restrictions on businesses until after the November Elections.
FAKE,In North Carolina you can be charged with a class H felony for wearing a mask and concealed carrying.
FAKE,A face mask exempt card allows you to cite the ADA and not wear a mask.
FAKE,A scientific study shows that cannabis is more effective at preventing and treating COVID-19 than hydroxychloroquine.
FAKE,A short portion of an interview given by discredited researcher Judy Mikovits in which she claims that a vaccine for COVID-19 will be deadly warns against immunization and advocates for a five-year moratorium to test all vaccines has been watched tens of thousands of times on YouTube and Facebook.
FAKE,Social media posts shared thousands of times in the United States contain multiple false or misleading claims about face masks used to stop the spread of COVID-19
FAKE,Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.
FAKE,The U.S. Occupational Safety and Health Administration (OSHA) says masks dont work and violate OSHA oxygen levels.
FAKE,Gov. Gavin Newsom has no legal authority to make wearing face coverings mandatory in California.
FAKE,President Trumps claim that he inherited no ventilators from the Obama administration.
FAKE,OSHA says masks dont work to reduce COVID-19 transmission and violate OSHA oxygen levels.
FAKE,Bill Gates who has led harmful vaccination campaigns in developing countries now plans to use COVID-19 vaccines to surveil the population.
FAKE,If we stopped testing right now wed have very few cases if any.
FAKE,News stories referencing the number 322 and COVID-19 are proof cases tolls are being synchronized.
FAKE,In a very real sense (Oklahoma has) flattened the curve.  The number of cases in Oklahoma  its declined precipitously.
FAKE,FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.
FAKE,George Floyds murder filmed before COVID-19.
