category,text
FAKE,Coronavirus immunity: Can you catch it twice? 
FAKE,"@BipedNi @BBCScienceNews by combining a HIV-based pseudovirus system with cell lines expressing the #ACE2 molecules of human, or horseshoe bat. In addition to full-length S of SL-CoV and SARS-CoV, a series of S chimeras was constructed
"
FAKE,@TomFitton @EpochTimes  
FAKE,@TomFitton @EpochTimes Thank You
FAKE,@TomFitton @EpochTimes Looks interesting
FAKE,"@TomFitton @kwteaparty @EpochTimes Thanks, Tom. Heart stopping. Every American needs to see this ."
FAKE,@TomFitton @EpochTimes Keep up the good work buddy
FAKE,@TomFitton @EpochTimes Tom (shirts not) Fitton
FAKE,@TomFitton @EpochTimes It was really informative.
FAKE,@TomFitton @EpochTimes Open our country now. The shutdowns are unconstitutional.  One more second closed is one step closer to nwo 
FAKE,@TomFitton @EpochTimes Judicial Watch and Tom Finton are going to save this country!!!!
FAKE,"[Exclusive investigative report] The first documentary movie on the origin of CCP virus(Coronavirus)
"
FAKE,@realTuckFrumper @PrincessBravato Pennsylvania is willing to make a trade for Santorum. Any takers? Patio furniture or old bottles are acceptable.
FAKE,"@realTuckFrumper Rick Santorum ? He used to be a Senator, now hes nobody."
FAKE,@realTuckFrumper Probably just kills him to admit that. 
FAKE,@realTuckFrumper That clown is part of the reason I don't watch CNN anymore.
FAKE,"@realTuckFrumper But Rick Santorum still unquestionably backs Trump.   If you had a democratic president, he would claim every grammatical error would be a reason to remove."
FAKE,"@realTuckFrumper Why does anyone talk to Santorum? No one cares what he thinks. 

#uselessIdiots"
FAKE,@realTuckFrumper Sanctimonious Rick
FAKE,"@chrisdabear @thedailybeast And another name on Trump's ""They used to like me, now when is the next bus coming"" list!"
FAKE,"@chrisdabear @thedailybeast ""The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.""  
Tenth Amendment to the United States Constitution"
FAKE,@chrisdabear @thedailybeast Hey @realdonaldtrump.....Rick Santorum (one of your sycophants) just told CNN that YOU CANNOT FORCE GOVERNORS TO RE-OPEN THE STATES!
FAKE,"@chrisdabear @thedailybeast ""Admits."" That's funny. What a total game changer this ""admission"" is from a person of no consequence. Nevermind that this ""admission"" is of an obvious fact we're all aware of."
FAKE,@chrisdabear @thedailybeast Then it will be all the governor's fault.
FAKE,"@VABVOX why, i can't ask this too much, why is Rick  Santorum still getting airtime?!?!"
FAKE,"@VABVOX Finally, someone in the GOP who knows something!! Now get Trump to listen, listen and listen!"
FAKE,"@VABVOX @surfcityphoto BS; ask any lawyer about Interstate Commerce Clause &amp; Supremacy Clause of U.S. Constitution.
And about prior federal appeals court rulings on them."
FAKE,@ohiomail Total authority... 
FAKE,@IamLita @thedailybeast Admit. Funny
FAKE,@IamLita @thedailybeast No one said he could except some deranged lefty
FAKE,@candies2639 Even rick...
FAKE,@heyjudenyc @thedailybeast I've already gone to BBC! They actually tell the news no matter who like is!
FAKE,@DanWantsFreedom Hillary is not going to Prison
FAKE,"@DanWantsFreedom @JulieReichwein1 I believe she is with many more governor's on the list of selling out their
agendas to China. Mike Pompeo has the names what's in their wallets !"
FAKE,"@DanWantsFreedom @JulieReichwein1 I would definitely buy US American Flags right now if I lived there,  I hope every military soldier active or retired or relative to buy, unless she has a definite good reason "
FAKE,@DanWantsFreedom @exhaustartist Recall this Faulty Automobile. To many loose bolts and pins. Black smoke out of the rear. Faulty paint work. No breaks. Uncomfortable seats. Very noisy clicks from engine. Worst car since Edsel. And she likes to be fo
FAKE,@DanWantsFreedom She is off the deep end of Lake Michigan ! #KAG
FAKE,@DanWantsFreedom @SLT20201 Have her move to Cuba!
FAKE,@DanWantsFreedom Commandant Whitmer @GovWhitmer is a fascist and thats been nice
FAKE,@DanWantsFreedom @ShawnG927 Opinion: Is Gretchen truly insane or just playing martyr ?? #MAGA
FAKE,@GrinolsJ @DanWantsFreedom Oh Lawdy yaaasss!
FAKE,"@DanWantsFreedom @ShawnG927 Michigan   is she muslim? Is she married to a muslim? Has she been threatened by muslims?
Because she is trying to destroy from within, she is not a freedom loving American."
FAKE,@DanWantsFreedom @JulieReichwein1 The real problem here is that the idiots who voted her into office dont fly American flags.
FAKE,@DanWantsFreedom @LibsNoFun I just wish I didnt find her so f@ckable
FAKE,@DanWantsFreedom @SLT20201 Impeach this imbecile
FAKE,@DanWantsFreedom @JDRucker She has a Hitler complex
FAKE,"@DanWantsFreedom @NoqReport Flags are on aisle 7, between the guns and butter."
FAKE,"@DanWantsFreedom @cindyseestruth When this is over, can I refuse service to ANYONE?  If I own a restaurant in Michigan, can I refuse service to #governorWhitmer ?  Her vocal supporters?"
FAKE,@CraftonAlways @DanWantsFreedom @katrina_wiser Heres hoping 
FAKE,"@DanWantsFreedom Maybe we don't have the mark of the beast..terminate her, what good is she doing.."
FAKE,@DanWantsFreedom @SLT20201 GITMO put in plenty of padded cells.
FAKE,@lloyd4man @garylphoto Thought this was Alyssa Milano for a sec. Ha!
FAKE,@lloyd4man Wtf
FAKE,"@lloyd4man and easter candy and cards, or was that CA, i get dem states so confused?"
FAKE,"@lloyd4man Unbelievable, strange"
FAKE,@lloyd4man Disgusting deep state player
FAKE,"@lloyd4man What ""justification"" is Gov. Wacko offering for banning the sale of US flags?"
FAKE,@lloyd4man This bitch is way of control!!!!!!!!!!!!!!!!!!!!!!!!!!!!
FAKE,@lloyd4man @chenleed Another communist
FAKE,@lloyd4man Bruce Jenner?
