category,text
REAL,RT @CBCNS: East Coast salt marshes to be restored to battle effects of climate change  
FAKE,"#BillGates is also part of the problem!

He's part of the #ROTHSCHILD freaks and #ROCKEFELLER freaks!  They ARE the problem!  With luck, they are all ABOUT to become the past problem!

#BillGatesIsEvil #BillGates #BillGatesVirus #COVIDã¼19 

"
REAL,"What should bother people about Julie Payette's comments is their tone more than their content, says @David_Moscrop "
FAKE,"@EARTH3R It's typical that you are mentioning climate change! 

Unless you discuss strangelets 

and what they're doing to the core of the planet 

who's doing it

and how the magnets are 500,000 times stronger than the Earth's magnet

 will discuss weath"
REAL, #Ghislaine #GhislaineMaxwellTrial #JeffreyEpstein #EpsteinMaxwell #LolitaExpress #PedophileIsland #Pimp #SexAbuse #Rape #MadameGhislaine
FAKE,RT @Daniell32703718: The ARTIST &amp; PHOTOGRAPHER connections including Rachel CHANDLER Guinness who has over 14 connections. Thanks to help fâ¦
REAL,"@RealAlexJones @9AM But it's geoengineering, not human-caused climate change, at least in what passes for your mind"
REAL,If we could identify the severity of #covid19 when it started in #wuhan we would able to save thousand lives by now. I hope we will not do the same with #covid1948
REAL,"RT @BrendanCarrFCC: You let 7 million people leave Wuhan (a city of 11 million) in the first three weeks of January, including infected peoâ¦"
REAL,#Lockdown5point0 #Lockdown5Guidelines #LockdownExtended #lockdown #coronavirus #lockdown2020 #Covid_19 
FAKE,"En USA con este fin de semana festivo provoca la eliminaciÃ³n de inhibiciones a medidas y las muertes por coronavirus cerca de 100,000.
"
FAKE,"Signal #5
Keep your eyes in #EPS
It may pump any time
#epsusdt #epsteincoverup #cryptocrash #cryptocurrency #cryptocurrencies #BitcoinCrash #Bitcoin #altcoins #IOTX #CryptoNews"
FAKE,"The rain that is falling cannot be good ...

#IDoNotConsent #WeDoNotConsent #opstopchemtrails #SkyBastard #Geoengineering #climatechange #SRM Â #BigMoney #HAARP #NEXRAD #EMF #5G #WiFi #RF #LookUp #SilentWarfare #MAGA "
FAKE,A 'geoengineering cocktail' is the latest last-ditch proposal to reverse climate change - CNET: Humans haveâ¦  #NEWS
