category,text
REAL,RT @CBCNS: East Coast salt marshes to be restored to battle effects of climate change https://t.co/bqUQbooRFp https://t.co/odewP9v24F
FAKE,"#BillGates is also part of the problem!

He's part of the #ROTHSCHILD freaks and #ROCKEFELLER freaks!  They ARE the problem!  With luck, they are all ABOUT to become the past problem!

#BillGatesIsEvil #BillGates #BillGatesVirus #COVIDー19 

https://t.co/qUGERg04zy"
REAL,"What should bother people about Julie Payette's comments is their tone more than their content, says @David_Moscrop https://t.co/viHY1QUbrK"
FAKE,"@EARTH3R It's typical that you are mentioning climate change! 

Unless you discuss strangelets 

and what they're doing to the core of the planet 

who's doing it

and how the magnets are 500,000 times stronger than the Earth's magnet

 will discuss weath"
REAL,https://t.co/3vfYL40huU #Ghislaine #GhislaineMaxwellTrial #JeffreyEpstein #EpsteinMaxwell #LolitaExpress #PedophileIsland #Pimp #SexAbuse #Rape #MadameGhislaine
FAKE,RT @Daniell32703718: The ARTIST &amp; PHOTOGRAPHER connections including Rachel CHANDLER Guinness who has over 14 connections. Thanks to help f…
REAL,"@RealAlexJones @9AM But it's geoengineering, not human-caused climate change, at least in what passes for your mind"
REAL,If we could identify the severity of #covid19 when it started in #wuhan we would able to save thousand lives by now. I hope we will not do the same with #covid1948
REAL,"RT @BrendanCarrFCC: You let 7 million people leave Wuhan (a city of 11 million) in the first three weeks of January, including infected peo…"
REAL,#Lockdown5point0 #Lockdown5Guidelines #LockdownExtended #lockdown #coronavirus #lockdown2020 #Covid_19 https://t.co/XyFwJSLYbT
FAKE,"En USA con este fin de semana festivo provoca la eliminación de inhibiciones a medidas y las muertes por coronavirus cerca de 100,000.
https://t.co/yDRxuhwV5G"
FAKE,"Signal #5
Keep your eyes in #EPS
It may pump any time
#epsusdt #epsteincoverup #cryptocrash #cryptocurrency #cryptocurrencies #BitcoinCrash #Bitcoin #altcoins #IOTX #CryptoNews"
FAKE,"The rain that is falling cannot be good ...

#IDoNotConsent #WeDoNotConsent #opstopchemtrails #SkyBastard #Geoengineering #climatechange #SRM  #BigMoney #HAARP #NEXRAD #EMF #5G #WiFi #RF #LookUp #SilentWarfare #MAGA https://t.co/GCV9fJCldK"
FAKE,A 'geoengineering cocktail' is the latest last-ditch proposal to reverse climate change - CNET: Humans have… https://t.co/8EtbCni6K2 #NEWS
REAL,My mother also died from virus related illness;about 3 weeks ago. I’m in California she was in Flatbush. I didn’t want to die because of a trip to a funeral. https://t.co/i8yrFbe9sr
FAKE,"@travellerofdawn @SusanStylianou It's a hoax

https://t.co/rrhkL7Y675

https://t.co/or6uMENBRW

https://t.co/gGIokLfClS

https://t.co/EhObHuyOZ5"
FAKE,"RT @wim_dewit: #climatechange ""Future global warming may eventually be twice as warm as projected by climate models and sea levels may rise…"
FAKE,#IDoNotConsent #WeDoNotConsent #OpEvidence #opstopchemtrails #Chemtrails #SkyBastard #Geoengineering #climatechange #SRM #Cloudseeding #EverGreenAir  #BigMoney #NEXRAD #LookUp #SilentWarfare #MAGA #potus #breakingnews https://t.co/XvUnS6Nj3W
FAKE,"#UN member states demand 'equitable' access to future Covid-19 #vaccines

#Covid_19 #Healing https://t.co/oRfPF4cU4w"
REAL,"Our hearts go out to the people of south Texas, victims of climate change &amp; the sold-out politicians causing it."
FAKE,"@Baddiel Why has this flat earth guf become so popular again?
We have a candidate running to become an MP who believes in it
Also deny climate change"
FAKE,#LockThemAllUp #GhislaineMaxwell #GhislaineMaxwellTrial #EpsteinCoverup #EvilJustice #EvilFBI #EvilCongress https://t.co/CviQeY91in https://t.co/KJ77dawCcR
